,order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount,store_missing_flag,cost_price,profit
0,O00000,2025-01-31,C0125,P1086,1.0,Online,2,80.63,0.05,153.2,0,69.87,13.45999999999998
1,O00001,2025-09-29,C0633,P0973,2.0,In-Store,20,209.16,0.05,3974.0,0,120.11,1571.8000000000002
2,O00002,2024-08-29,C0653,P0659,3.0,Online,2,218.6,0.1,393.48,0,173.17,47.14000000000004
3,O00003,2025-05-13,C0753,P0666,4.0,In-Store,1,78.53,0.2,62.82,0,65.86,-3.039999999999999
4,O00004,2025-07-22,C0627,P0166,5.0,In-Store,1,344.93,0.2,275.94,0,174.83,101.10999999999999
5,O00005,2025-12-16,C0716,P0205,6.0,In-Store,1,14.31,0.05,13.59,0,7.9,5.6899999999999995
6,O00006,2024-09-25,C0532,P1171,7.0,In-Store,2,230.62,0.0,461.24,0,185.92,89.40000000000003
7,O00007,2024-09-27,C0515,P0178,8.0,In-Store,2,129.07,0.2,206.51,0,94.08,18.349999999999994
8,O00008,2025-03-01,C0456,P0236,9.0,In-Store,2,196.93,0.05,374.17,0,173.04,28.090000000000032
9,O00009,2024-12-02,C0174,P0183,10.0,Online,3,304.66,0.0,913.98,0,181.16,370.5
10,O00010,2024-05-03,C0334,P0785,11.0,In-Store,1,57.39,0.1,51.65,0,46.09,5.559999999999995
11,O00011,2025-04-12,C0686,P0252,12.0,In-Store,2,231.15,0.2,369.84,0,196.57,-23.30000000000001
12,O00012,2025-11-13,C0708,P0681,13.0,In-Store,1,342.55,0.0,342.55,0,190.14,152.41000000000003
13,O00013,2025-10-05,C0386,P0781,14.0,In-Store,1,153.3,0.2,122.64,0,99.94,22.700000000000003
14,O00014,2025-11-18,C0228,P0530,15.0,Online,2,274.32,0.0,548.64,0,147.34,253.95999999999998
15,O00015,2025-05-06,C0348,P0528,16.0,In-Store,2,102.08,0.0,204.16,0,65.43,73.29999999999998
16,O00015,2025-05-06,C0348,P0528,16.0,In-Store,2,102.08,0.0,204.16,0,65.43,73.29999999999998
17,O00016,2024-07-16,C0130,P0641,17.0,In-Store,1,240.92,0.0,240.92,0,123.63,117.28999999999999
18,O00017,2025-01-19,C0604,P1096,18.0,Online,1,214.66,0.2,171.73,0,109.25,62.47999999999999
19,O00018,2025-03-05,C0327,P0747,19.0,In-Store,1,127.24,0.05,120.88,0,84.49,36.39
20,O00019,2024-04-28,C0616,P0255,20.0,Online,10,21.15,0.2,169.2,0,17.85,-9.300000000000011
21,O00019,2024-04-28,C0616,P0255,20.0,Online,10,21.15,0.2,169.2,0,17.85,-9.300000000000011
22,O00020,2025-03-15,C0471,P0647,21.0,Online,2,139.35,0.1,250.83,0,105.87,39.09
23,O00021,2024-11-27,C0511,P0933,22.0,Online,2,25.25,0.1,45.45,0,13.75,17.950000000000003
24,O00022,2025-06-28,C0681,P0070,23.0,In-Store,2,235.0,0.0,470.0,0,176.02,117.95999999999998
25,O00023,2025-10-10,C0723,P1175,24.0,In-Store,2,26.47,0.05,50.29,0,23.03,4.229999999999997
26,O00024,2025-07-16,C0721,P0771,25.0,Online,2,155.11,0.1,279.2,0,81.54,116.11999999999998
27,O00025,2025-05-19,C0733,P0431,26.0,In-Store,1,39.3,0.05,37.33,0,21.12,16.209999999999997
28,O00026,2025-03-07,C0053,P0366,27.0,In-Store,2,230.23,0.2,368.37,0,183.08,2.2099999999999795
29,O00027,2025-04-03,C0675,P0326,28.0,In-Store,2,134.39,0.2,215.02,0,95.57,23.880000000000024
30,O00028,2024-08-17,C0694,P0969,29.0,In-Store,2,171.98,0.2,275.17,0,90.71,93.75000000000003
31,O00029,2025-07-12,C0540,P0579,30.0,Online,1,137.64,0.05,130.76,0,74.19,56.56999999999999
32,O00030,2025-10-21,C0561,P0806,31.0,Online,1,38.24,0.1,34.42,0,24.55,9.870000000000001
33,O00031,2025-02-18,C0594,P0110,32.0,In-Store,3,280.19,0.1,756.51,0,170.81,244.07999999999993
34,O00032,2025-01-27,C0167,P1182,33.0,Online,1,275.08,0.2,220.06,0,167.92,52.140000000000015
35,O00033,2025-06-19,C0148,P0429,34.0,Online,1,257.83,0.05,244.94,0,138.39,106.55000000000001
36,O00034,2025-06-04,C0009,P0741,35.0,In-Store,2,25.86,0.0,51.72,0,13.55,24.619999999999997
37,O00035,2024-09-14,C0151,P0771,36.0,In-Store,1,155.11,0.05,147.35,0,81.54,65.80999999999999
38,O00036,2024-12-14,C0098,P0728,37.0,In-Store,3,242.37,0.0,727.11,0,152.25,270.36
39,O00037,2025-06-14,C0527,P0693,38.0,In-Store,2,147.47,0.2,235.95,0,132.72,-29.49000000000001
40,O00038,2025-11-26,C0121,P0493,39.0,In-Store,2,178.11,0.05,338.41,0,108.79,120.83000000000001
41,O00039,2025-08-18,C0384,P0183,40.0,In-Store,1,304.66,0.2,243.73,0,181.16,62.56999999999999
42,O00040,2024-04-19,C0668,P0911,41.0,In-Store,3,298.36,0.0,895.08,0,154.31,432.15000000000003
43,O00041,2024-12-30,C0500,P1043,42.0,Online,2,321.82,0.2,514.91,0,198.11,118.68999999999994
44,O00042,2025-01-13,C0763,P0193,43.0,In-Store,1,62.96,0.2,50.37,0,32.26,18.11
45,O00043,2025-05-28,C0660,P0888,44.0,Online,2,99.91,0.05,189.83,0,50.37,89.09000000000002
46,O00044,2024-12-09,C0065,P1100,45.0,Online,1,74.54,0.0,74.54,0,42.65,31.890000000000008
47,O00045,2025-05-10,C0549,P1085,46.0,In-Store,2,42.67,0.0,85.34,0,36.58,12.180000000000007
48,O00046,2025-02-09,C0212,P0240,47.0,Online,10,85.49,0.05,812.2,0,52.45,287.70000000000005
49,O00047,2024-08-01,C0457,P0643,48.0,Online,1,252.43,0.05,239.81,0,137.05,102.75999999999999
50,O00048,2025-08-29,C0668,P0330,49.0,Online,1,355.55,0.1,320.0,0,189.35,130.65
51,O00049,2025-05-02,C0035,P0173,50.0,In-Store,3,209.18,0.1,564.79,0,115.36,218.70999999999998
52,O00050,2024-07-13,C0557,P0351,51.0,In-Store,1,170.33,0.0,170.33,0,106.14,64.19000000000001
53,O00051,2025-07-05,C0047,P1063,52.0,In-Store,3,71.55,0.2,171.72,0,60.93,-11.069999999999993
54,O00052,2024-06-07,C0502,P0640,53.0,In-Store,1,215.37,0.05,204.6,0,131.24,73.35999999999999
55,O00053,2024-10-19,C0678,P0091,54.0,Online,1,27.29,0.05,25.93,0,20.11,5.82
56,O00054,2024-07-20,C0220,P0274,55.0,In-Store,1,285.95,0.1,257.36,0,198.93,58.43000000000001
57,O00055,2024-05-12,C0746,P0864,56.0,Online,3,113.48,0.1,306.4,0,63.42,116.13999999999999
58,O00056,2024-05-27,C0665,P0334,57.0,In-Store,1,135.83,0.1,122.25,0,118.75,3.5
59,O00057,2025-03-30,C0711,P0293,58.0,In-Store,1,259.84,0.1,233.86,0,179.45,54.410000000000025
60,O00058,2024-08-24,C0713,P0394,59.0,In-Store,2,219.0,0.05,416.1,0,165.56,84.98000000000002
61,O00059,2024-11-06,C0157,P0647,60.0,In-Store,2,139.35,0.2,222.96,0,105.87,11.219999999999999
62,O00060,2025-04-19,C0618,P0506,61.0,Online,3,76.44,0.0,229.32,0,44.45,95.96999999999997
63,O00061,2025-01-03,C0700,P1123,62.0,In-Store,3,75.06,0.0,225.18,0,58.9,48.48000000000002
64,O00062,2025-03-09,C0341,P0559,63.0,Online,1,286.97,0.05,272.62,0,166.15,106.47
65,O00063,2024-06-22,C0100,P0772,64.0,In-Store,1,121.36,0.2,97.09,0,102.72,-5.6299999999999955
66,O00064,2024-08-20,C0596,P0252,65.0,Online,1,231.15,0.1,208.03,0,196.57,11.460000000000008
67,O00065,2024-07-17,C0501,P0195,66.0,In-Store,2,151.18,0.1,272.12,0,77.35,117.42000000000002
68,O00066,2024-11-01,C0622,P0202,67.0,In-Store,1,218.6,0.1,196.74,0,119.34,77.4
69,O00067,2025-02-04,C0398,P0370,68.0,In-Store,1,106.39,0.2,85.11,0,58.2,26.909999999999997
70,O00068,2025-06-12,C0130,P0530,69.0,Online,2,274.32,0.05,521.21,0,147.34,226.53000000000003
71,O00069,2025-02-13,C0146,P0775,70.0,In-Store,1,22.99,0.0,22.99,0,12.88,10.109999999999998
72,O00070,2025-02-22,C0654,P0758,71.0,In-Store,2,218.78,0.2,350.05,0,135.84,78.37
73,O00071,2024-07-12,C0187,P0898,72.0,In-Store,1,204.25,0.2,163.4,0,167.86,-4.460000000000008
74,O00072,2024-05-01,C0282,P0876,73.0,In-Store,1,181.91,0.05,172.81,0,156.25,16.560000000000002
75,O00073,2025-05-04,C0089,P0625,74.0,In-Store,1,249.56,0.0,249.56,0,178.47,71.09
76,O00074,2025-11-24,C0078,P0491,75.0,In-Store,2,205.2,0.0,410.4,0,156.25,97.89999999999998
77,O00075,2024-12-14,C0292,P1134,76.0,In-Store,3,40.51,0.0,121.53,0,26.67,41.519999999999996
78,O00076,2024-10-29,C0434,P1041,77.0,In-Store,1,127.15,0.2,101.72,0,93.33,8.39
79,O00077,2025-09-09,C0701,P1090,78.0,In-Store,1,32.87,0.0,32.87,0,18.73,14.139999999999997
80,O00078,2025-06-02,C0763,P0014,79.0,In-Store,1,34.42,0.1,30.98,0,17.91,13.07
81,O00079,2025-01-06,C0756,P1081,80.0,In-Store,1,26.3,0.2,21.04,0,16.09,4.949999999999999
82,O00080,2024-10-22,C0690,P1072,81.0,In-Store,1,200.65,0.0,200.65,0,138.28,62.370000000000005
83,O00081,2025-03-11,C0136,P1052,82.0,In-Store,1,190.93,0.2,152.74,0,126.53,26.210000000000008
84,O00082,2025-05-13,C0174,P0764,83.0,In-Store,1,241.25,0.05,229.19,0,143.88,85.31
85,O00083,2024-06-05,C0784,P0241,84.0,Online,1,195.47,0.2,156.38,0,150.43,5.949999999999989
86,O00084,2025-11-05,C0218,P0004,85.0,In-Store,2,88.47,0.2,141.55,0,71.35,-1.1499999999999773
87,O00085,2025-03-15,C0312,P1055,86.0,In-Store,2,200.83,0.2,321.33,0,115.79,89.74999999999997
88,O00086,2024-06-20,C0499,P0117,87.0,In-Store,1,197.56,0.2,158.05,0,116.12,41.93000000000001
89,O00087,2024-09-12,C0362,P0219,88.0,Online,2,125.63,0.05,238.7,0,73.95,90.79999999999998
90,O00088,2025-05-31,C0009,P0207,89.0,In-Store,1,176.19,0.0,176.19,0,97.87,78.32
91,O00089,2024-05-04,C0157,P0841,90.0,Online,10,101.01,0.2,808.1,0,53.94,268.70000000000005
92,O00090,2025-09-19,C0787,P0512,91.0,Online,3,258.13,0.2,619.51,0,140.64,197.59000000000003
93,O00091,2024-08-26,C0373,P0877,92.0,In-Store,3,238.06,0.1,642.76,0,179.66,103.77999999999997
94,O00092,2025-03-01,C0449,P0899,93.0,Online,1,118.47,0.1,106.62,0,99.65,6.969999999999999
95,O00093,2025-03-18,C0005,P0735,94.0,In-Store,2,196.86,0.05,374.03,0,158.32,57.389999999999986
96,O00094,2025-11-25,C0291,P0082,95.0,Online,2,177.36,0.2,283.78,0,136.2,11.379999999999995
97,O00094,2025-11-25,C0291,P0082,95.0,Online,2,177.36,0.2,283.78,0,136.2,11.379999999999995
98,O00095,2025-02-27,C0032,P0328,96.0,In-Store,1,126.04,0.2,100.83,0,105.42,-4.590000000000003
99,O00096,2025-04-14,C0272,P0243,97.0,In-Store,2,62.91,0.2,100.66,0,51.07,-1.480000000000004
100,O00097,2025-02-15,C0731,P0260,98.0,In-Store,3,116.29,0.2,279.1,0,104.16,-33.379999999999995
101,O00098,2024-05-30,C0759,P0796,99.0,Online,1,87.96,0.0,87.96,0,77.22,10.739999999999995
